states,actions
11140800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6916800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2692800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2692800.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2481600.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2481600.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2481600.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2481600.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2481600.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2481600.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2481600.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2481600.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2481600.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2481600.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
2481600.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
6705600.0,"['nothing', 'nothing', 'nothing', 'nothing', 'nothing']"
